"MS_Name";"Research_Innovation_5";"Information_Communication_Technologies_5";"Competitiveness_of_SMEs_5";"Low_Carbon_Economy_5";"Climate_Change_Adaptation_Risk_Prevention_5";"Environment_Protection_Resource_Efficiency_5";"Network_Infrastructures_in_Transport_and_Energy_5";"Sustainable_Quality_Employment_5";"Social_Inclusion_5";"Educational_Vocational_Training_5";"Efficient_Public_Administration_5";"Outermost_Sparsely_Populated_5";"Discontinued_Measures_5";"Technical_Assistance_5"
"Austria";"(45;50]";"(50;55]";"(40;45]";"(40;45]";"(50;55]";"(50;55]";;"(50;55]";"(55;60]";"(50;55]";;;;"(50;55]"
"Belgium";"(50;55]";;"(45;50]";"(45;50]";"(45;50]";"(45;50]";;"(50;55]";"(45;50]";"(45;50]";;;;"(45;50]"
"Bulgaria";"(85;90]";"(80;85]";"(85;90]";"(80;85]";"(75;80]";"(80;85]";"(80;85]";"(85;90]";"(85;90]";"(85;90]";"(85;90]";;;"(80;85]"
"Cyprus";"(55;60]";"(65;70]";"(65;70]";"(65;70]";"(55;60]";"(60;65]";"(80;85]";"(75;80]";"(65;70]";"(55;60]";"(80;85]";;"(50;55]";"(75;80]"
"Czech Republic";"(65;70]";"(60;65]";"(70;75]";"(70;75]";"(75;80]";"(75;80]";"(75;80]";"(70;75]";"(70;75]";"(65;70]";"(70;75]";;"(70;75]";"(70;75]"
"Germany";"(70;75]";"(55;60]";"(55;60]";"(60;65]";"(70;75]";"(65;70]";;"(60;65]";"(65;70]";"(65;70]";;;;"(55;60]"
"Denmark";"(55;60]";;"(55;60]";"(60;65]";"(70;75]";"(70;75]";;"(55;60]";"(60;65]";"(50;55]";;;;"(55;60]"
"Estonia";"(80;85]";"(80;85]";"(85;90]";"(75;80]";"(75;80]";"(75;80]";"(80;85]";"(80;85]";"(80;85]";"(85;90]";"(80;85]";;;"(80;85]"
"Spain";"(65;70]";"(65;70]";"(60;65]";"(60;65]";"(60;65]";"(60;65]";"(75;80]";"(65;70]";"(70;75]";"(70;75]";;"(80;85]";"(55;60]";"(65;70]"
"Finland";"(40;45]";"(40;45]";"(40;45]";"(45;50]";"(35;40]";"(40;45]";;"(45;50]";"(45;50]";"(40;45]";;;;"(45;50]"
"France";"(65;70]";"(50;55]";"(60;65]";"(55;60]";"(65;70]";"(65;70]";"(45;50]";"(65;70]";"(65;70]";"(65;70]";"(80;85]";"(70;75]";;"(60;65]"
"Greece";"(75;80]";"(70;75]";"(75;80]";"(75;80]";"(75;80]";"(70;75]";"(75;80]";"(70;75]";"(70;75]";"(75;80]";"(65;70]";;"(90;95]";"(70;75]"
"Croatia";"(85;90]";"(80;85]";"(80;85]";"(80;85]";"(80;85]";"(80;85]";"(80;85]";"(85;90]";"(85;90]";"(85;90]";"(80;85]";;;"(80;85]"
"Hungary";"(80;85]";"(75;80]";"(80;85]";"(80;85]";"(75;80]";"(75;80]";"(80;85]";"(80;85]";"(80;85]";"(80;85]";"(70;75]";;"(70;75]";"(80;85]"
"Ireland";"(50;55]";"(45;50]";"(50;55]";"(50;55]";"(55;60]";"(55;60]";;"(65;70]";"(55;60]";"(50;55]";;;"(50;55]";"(50;55]"
"Italy";"(45;50]";"(50;55]";"(45;50]";"(50;55]";"(45;50]";"(45;50]";"(65;70]";"(50;55]";"(50;55]";"(45;50]";"(50;55]";;"(45;50]";"(50;55]"
"Lithuania";"(80;85]";"(80;85]";"(80;85]";"(80;85]";"(75;80]";"(75;80]";"(80;85]";"(85;90]";"(80;85]";"(80;85]";"(80;85]";;"(80;85]";"(80;85]"
"Luxembourg";"(35;40]";;"(25;30]";"(30;35]";"(25;30]";"(25;30]";;"(45;50]";"(50;55]";"(45;50]";;;;"(40;45]"
"Latvia";"(70;75]";"(80;85]";"(70;75]";"(70;75]";"(70;75]";"(70;75]";"(80;85]";"(75;80]";"(75;80]";"(75;80]";"(80;85]";;"(65;70]";"(75;80]"
"Malta";"(75;80]";"(75;80]";"(75;80]";"(75;80]";"(70;75]";"(75;80]";"(80;85]";"(75;80]";"(75;80]";"(75;80]";"(75;80]";;;"(75;80]"
"Netherlands";"(35;40]";;"(55;60]";"(35;40]";"(60;65]";"(65;70]";;"(45;50]";"(45;50]";"(45;50]";;;;"(50;55]"
"Poland";"(80;85]";"(80;85]";"(75;80]";"(80;85]";"(80;85]";"(80;85]";"(80;85]";"(80;85]";"(80;85]";"(80;85]";"(85;90]";;"(60;65]";"(80;85]"
"Portugal";"(80;85]";"(80;85]";"(80;85]";"(80;85]";"(85;90]";"(80;85]";"(80;85]";"(80;85]";"(80;85]";"(80;85]";"(80;85]";"(80;85]";"(80;85]";"(80;85]"
"Romania";"(90;95]";"(80;85]";"(90;95]";"(85;90]";"(90;95]";"(85;90]";"(75;80]";"(85;90]";"(85;90]";"(85;90]";"(80;85]";;;"(75;80]"
"Sweden";"(40;45]";"(45;50]";"(45;50]";"(45;50]";"(40;45]";"(40;45]";"(45;50]";"(55;60]";"(45;50]";"(40;45]";;;;"(50;55]"
"Slovenia";"(75;80]";"(75;80]";"(75;80]";"(80;85]";"(75;80]";"(75;80]";"(80;85]";"(80;85]";"(75;80]";"(75;80]";"(75;80]";;"(70;75]";"(75;80]"
"Slovak Republic";"(70;75]";"(75;80]";"(70;75]";"(65;70]";"(75;80]";"(75;80]";"(80;85]";"(75;80]";"(70;75]";"(70;75]";"(65;70]";;;"(70;75]"
"Interreg";"(70;75]";"(80;85]";"(70;75]";"(70;75]";"(75;80]";"(75;80]";"(75;80]";"(70;75]";"(75;80]";"(80;85]";"(80;85]";;;"(70;75]"
"United Kingdom";"(55;60]";"(55;60]";"(55;60]";"(60;65]";"(60;65]";"(60;65]";"(70;75]";"(60;65]";"(55;60]";"(55;60]";;;;"(55;60]"
